"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"12";"1377";"Stefan Pjesivac";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"0";"0";"2";"2";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Montenegro";"2";"1367";"Drasko Brguljan";"2";"6";"1";"4";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"2";"0";"0"
"Montenegro";"6";"1371";"Dimitrije Obradovic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"0";"6";"0";"2";"0";"1";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"Montenegro";"5";"1370";"Uros Cuckovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"4";"1369";"Marko Petkovic";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0"
"Montenegro";"11";"1376";"Dragan Draskovic";"2";"4";"0";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
"Montenegro";"9";"1374";"Aleksandar Ivovic";"0";"4";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"2";"2";"2";"0";"2";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"14"
"Croatia";"2";"74";"Marko Macan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"2";"0";"2";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"2";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"7";"0";"2";"0";"2";"1";"3";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"3";"3";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"8";"483";"Andro Buslje";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Croatia";"9";"3";"Lovre Milos";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0"
"Croatia";"10";"1";"Josip Vrlic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"3";"0"
"Croatia";"13";"2";"Ivan Marcelic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"11";"73";"Hrvoje Benic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"12";"88";"Javier Garcia Gadea";"2";"4";"1";"2";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"3";"0";"0"
